id,store,title,price,info,search_value,link,image_url
633,Extra,"PanzerGlass Screen Protector iPhone 16 Pro, Ultra-Wide Fit, Clear",149.00,Made in: China; Color: Clear; Compatibility: iPhone 16 Pro,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/screen-protector/panzerglass-screen-protector-iphone-16-pro-ultra-wide-fit-clear/p/100379638,"https://media.extra.com/i/aurora/100379638_100_00/PanzerGlass-Screen-Protector-iPhone-16-Pro%2C-Ultra-Wide-Fit%2C-Clear?locale=en-GB,en-*,*&img404=edd"
634,Extra,"CARE by PanzerGlass Fashionable Case Blue with MagSafe for iPhone 16 Pro, Blue",99.00,Color: Blue; Material: Not Applicable; Case Style: Leather case,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-fashionable-case-blue-with-magsafe-for-iphone-16-pro-blue/p/100379637,"https://media.extra.com/i/aurora/100379637_100_00/CARE-by-PanzerGlass-Fashionable-Case-Blue-with-MagSafe-for-iPhone-16-Pro%2C-Blue?locale=en-GB,en-*,*&img404=edd"
635,Extra,"CARE by PanzerGlass Case with MagSafe for iPhone 16 Pro, Blue",99.00,Color: Blue; Material: Not Applicable; Case Style: Hard,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-case-with-magsafe-for-iphone-16-pro-blue/p/100379526,"https://media.extra.com/i/aurora/100379526_100_00/CARE-by-PanzerGlass-Case-with-MagSafe-for-iPhone-16-Pro%2C-Blue?locale=en-GB,en-*,*&img404=edd"
636,Extra,"CARE by PanzerGlass Flagship 3-in-1 Bundle iPhone 16, Clear",169.00,Color: Clear; Material: Recycled plastic; Made in: China,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-flagship-3-in-1-bundle-iphone-16-clear/p/100379525,"https://media.extra.com/i/aurora/100379525_100_00/CARE-by-PanzerGlass-Flagship-3-in-1-Bundle-iPhone-16%2C-Clear?locale=en-GB,en-*,*&img404=edd"
637,Extra,"CARE by PanzerGlass Flagship Case Urban Combat with MagSafe for iPhone 16 Pro, Peach",129.00,Color: Peach; Material: Not Applicable; Case Style: Hard Case Cover,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-flagship-case-urban-combat-with-magsafe-for-iphone-16-pro-peach/p/100379524,"https://media.extra.com/i/aurora/100379524_100_00/CARE-by-PanzerGlass-Flagship-Case-Urban-Combat-with-MagSafe-for-iPhone-16-Pro%2C-Peach?locale=en-GB,en-*,*&img404=edd"
638,Extra,"CARE by PanzerGlass Case Kickstand with MagSafe for iPhone 16 Pro, Silver",139.00,Color: Silver; Material: Not Applicable; Case Style: Kickstand,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-case-kickstand-with-magsafe-for-iphone-16-pro-silver/p/100379523,"https://media.extra.com/i/aurora/100379523_100_00/CARE-by-PanzerGlass-Case-Kickstand-with-MagSafe-for-iPhone-16-Pro%2C-Silver?locale=en-GB,en-*,*&img404=edd"
639,Extra,"CARE by PanzerGlass Flagship Case Urban Combat with MagSafe for iPhone 16, Transparent with Black",129.00,Color: Black; Material: Not Applicable; Case Style: Hard Case Cover,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-flagship-case-urban-combat-with-magsafe-for-iphone-16-transparent-with-black/p/100379522,"https://media.extra.com/i/aurora/100379522_100_00/CARE-by-PanzerGlass-Flagship-Case-Urban-Combat-with-MagSafe-for-iPhone-16%2C-Transparent-with-Black?locale=en-GB,en-*,*&img404=edd"
640,Extra,"CARE by PanzerGlass Flagship Case Smokey Urban Combat with Black MagSafe iPhone 16 Pro, Black",129.00,Color: Smokey Black; Material: Not Applicable; Case Style: Hard Case Cover,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-flagship-case-smokey-urban-combat-with-black-magsafe-iphone-16-pro-black/p/100379521,"https://media.extra.com/i/aurora/100379521_100_00/CARE-by-PanzerGlass-Flagship-Case-Smokey-Urban-Combat-with-Black-MagSafe-iPhone-16-Pro%2C-Black?locale=en-GB,en-*,*&img404=edd"
641,Extra,"CARE by PanzerGlass Flagship 3-in-1 Bundle iPhone 16, Privacy",199.00,Color: PRIVACY; Material: Recycled plastic; Made in: China,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-flagship-3-in-1-bundle-iphone-16-privacy/p/100379520,"https://media.extra.com/i/aurora/100379520_100_00/CARE-by-PanzerGlass-Flagship-3-in-1-Bundle-iPhone-16%2C-Privacy?locale=en-GB,en-*,*&img404=edd"
642,Extra,"CARE by PanzerGlass Case Kickstand with MagSafe for iPhone 16 Pro, Black",139.00,Color: Black; Material: Not Applicable; Case Style: Kickstand,iPhone 16,https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/cases/care-by-panzerglass-case-kickstand-with-magsafe-for-iphone-16-pro-black/p/100379519,"https://media.extra.com/i/aurora/100379519_100_00/CARE-by-PanzerGlass-Case-Kickstand-with-MagSafe-for-iPhone-16-Pro%2C-Black?locale=en-GB,en-*,*&img404=edd"
